Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23.0,4.0,1993.0
Low Resolution Spectrometer,Multivariate,Classification,"Integer, Real",531.0,102.0,1988.0
Spambase,Multivariate,Classification,"Integer, Real",4601.0,57.0,1999.0
SPECT Heart,Multivariate,Classification,Categorical,267.0,22.0,2001.0
SPECTF Heart,Multivariate,Classification,Integer,267.0,44.0,2001.0
Sponge,Multivariate,Clustering,"Categorical, Integer",76.0,45.0,
Statlog Project,,,,,,1992.0
Student Loan Relational,Domain-Theory,,,1000.0,,1993.0
Teaching Assistant Evaluation,Multivariate,Classification,"Categorical, Integer",151.0,5.0,1997.0
Tic-Tac-Toe Endgame,Multivariate,Classification,Categorical,958.0,9.0,1991.0
Thyroid Disease,"Multivariate, Domain-Theory",Classification,"Categorical, Real",7200.0,21.0,1987.0
Trains,Multivariate,Classification,Categorical,10.0,32.0,1994.0
University,Multivariate,Classification,"Categorical, Integer",285.0,17.0,1988.0
Congressional Voting Records,Multivariate,Classification,Categorical,435.0,16.0,1987.0
Water Treatment Plant,Multivariate,Clustering,"Integer, Real",527.0,38.0,1993.0
Waveform Database Generator (Version 1),"Multivariate, Data-Generator",Classification,Real,5000.0,21.0,1988.0
Waveform Database Generator (Version 2),"Multivariate, Data-Generator",Classification,Real,5000.0,40.0,1988.0
Wine,Multivariate,Classification,"Integer, Real",178.0,13.0,1991.0
Yeast,Multivariate,Classification,Real,1484.0,8.0,1996.0
Zoo,Multivariate,Classification,"Categorical, Integer",101.0,17.0,1990.0
Undocumented,,,,,,
Twenty Newsgroups,Text,,,20000.0,,1999.0
Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650.0,15.0,1999.0
Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565.0,22.0,2002.0
US Census Data (1990),Multivariate,Clustering,Categorical,2458285.0,68.0,
Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285.0,40.0,2000.0
Coil 1999 Competition Data,Multivariate,,"Categorical, Real",340.0,17.0,1999.0
Corel Image Features,Multivariate,,Real,68040.0,89.0,1999.0
E. Coli Genes,Relational,,,,,2001.0
EEG Database,"Multivariate, Time-Series",,"Categorical, Integer, Real",122.0,4.0,1999.0
El Nino,Spatio-temporal,,"Integer, Real",178080.0,12.0,1999.0
Entree Chicago Recommendation Data,"Transactional, Sequential",Recommender-Systems,Categorical,50672.0,,2000.0
CMU Face Images,Image,Classification,Integer,640.0,,1999.0
Insurance Company Benchmark (COIL 2000),Multivariate,"Regression, Description","Categorical, Integer",9000.0,86.0,2000.0
Internet Usage Data,Multivariate,,"Categorical, Integer",10104.0,72.0,1999.0
IPUMS Census Database,Multivariate,,"Categorical, Integer",256932.0,61.0,1999.0
Japanese Vowels,"Multivariate, Time-Series",Classification,Real,640.0,12.0,
KDD Cup 1998 Data,Multivariate,Regression,"Categorical, Integer",191779.0,481.0,1998.0
KDD Cup 1999 Data,Multivariate,Classification,"Categorical, Integer",4000000.0,42.0,1999.0
M. Tuberculosis Genes,Relational,,,,,2001.0
Movie,"Multivariate, Relational",,,10000.0,,1999.0
MSNBC.com Anonymous Web Data,Sequential,,Categorical,989818.0,,
NSF Research Award Abstracts 1990-2003,Text,,,129000.0,,2003.0
Pioneer-1 Mobile Robot Data,"Multivariate, Time-Series",,"Categorical, Real",,,1999.0
Pseudo Periodic Synthetic Time Series,"Univariate, Time-Series",,,100000.0,,1999.0
Reuters-21578 Text Categorization Collection,Text,Classification,Categorical,21578.0,5.0,1997.0
Robot Execution Failures,"Multivariate, Time-Series",Classification,Integer,463.0,90.0,1999.0
Synthetic Control Chart Time Series,Time-Series,"Classification, Clustering",Real,600.0,,1999.0
Syskill and Webert Web Page Ratings,"Multivariate, Text",Classification,Categorical,332.0,5.0,1998.0
UNIX User Data,"Text, Sequential",,,,,
Volcanoes on Venus - JARtool experiment,Image,Classification,,,,
Statlog (Australian Credit Approval),Multivariate,Classification,"Categorical, Integer, Real",690.0,14.0,
Statlog (German Credit Data),Multivariate,Classification,"Categorical, Integer",1000.0,20.0,1994.0
Statlog (Heart),Multivariate,Classification,"Categorical, Real",270.0,13.0,
Statlog (Landsat Satellite),Multivariate,Classification,Integer,6435.0,36.0,1993.0
Statlog (Image Segmentation),Multivariate,Classification,Real,2310.0,19.0,1990.0
Statlog (Shuttle),Multivariate,Classification,Integer,58000.0,9.0,
Statlog (Vehicle Silhouettes),Multivariate,Classification,Integer,946.0,18.0,
Connectionist Bench (Nettalk Corpus),Multivariate,,Categorical,20008.0,4.0,
"Connectionist Bench (Sonar, Mines vs. Rocks)",Multivariate,Classification,Real,208.0,60.0,
Connectionist Bench (Vowel Recognition - Deterding Data),,Classification,Real,528.0,10.0,
Economic Sanctions,Domain-Theory,,,,,
Protein Data,,,,,,
Cloud,Multivariate,,Real,1024.0,10.0,1989.0
CalIt2 Building People Counts,"Multivariate, Time-Series",,"Categorical, Integer",10080.0,4.0,2006.0
Dodgers Loop Sensor,"Multivariate, Time-Series",,"Categorical, Integer",50400.0,3.0,2006.0
Poker Hand,Multivariate,Classification,"Categorical, Integer",1025010.0,11.0,2007.0
MAGIC Gamma Telescope,Multivariate,Classification,Real,19020.0,11.0,2007.0
UJI Pen Characters,"Multivariate, Sequential",Classification,Integer,1364.0,,2007.0
Mammographic Mass,Multivariate,Classification,Integer,961.0,6.0,2007.0
Forest Fires,Multivariate,Regression,Real,517.0,13.0,2008.0
Reuters Transcribed Subset,Text,Classification,,200.0,,2008.0
Bag of Words,Text,Clustering,Integer,8000000.0,100000.0,2008.0
Concrete Compressive Strength,Multivariate,Regression,Real,1030.0,9.0,2007.0
Hill-Valley,Sequential,Classification,Real,606.0,101.0,2008.0
Arcene,Multivariate,Classification,Real,900.0,10000.0,2008.0
Dexter,Multivariate,Classification,Integer,2600.0,20000.0,2008.0
Dorothea,Multivariate,Classification,Integer,1950.0,100000.0,2008.0
Gisette,Multivariate,Classification,Integer,13500.0,5000.0,2008.0
Madelon,Multivariate,Classification,Real,4400.0,500.0,2008.0
Ozone Level Detection,"Multivariate, Sequential, Time-Series",Classification,Real,2536.0,73.0,2008.0
Abscisic Acid Signaling Network,Multivariate,Causal-Discovery,Integer,300.0,43.0,2008.0
Parkinsons,Multivariate,Classification,Real,197.0,23.0,2008.0
Character Trajectories,Time-Series,"Classification, Clustering",Real,2858.0,3.0,2008.0
Blood Transfusion Service Center,Multivariate,Classification,Real,748.0,5.0,2008.0
UJI Pen Characters (Version 2),"Multivariate, Sequential",Classification,Integer,11640.0,,2009.0
Semeion Handwritten Digit,Multivariate,Classification,Integer,1593.0,256.0,2008.0
SECOM,Multivariate,"Classification, Causal-Discovery",Real,1567.0,591.0,2008.0
Plants,Multivariate,Clustering,Categorical,22632.0,70.0,2008.0
Libras Movement,"Multivariate, Sequential","Classification, Clustering",Real,360.0,91.0,2009.0
Concrete Slump Test,Multivariate,Regression,Real,103.0,10.0,2009.0
Communities and Crime,Multivariate,Regression,Real,1994.0,128.0,2009.0
Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120.0,6.0,2009.0
Wine Quality,Multivariate,"Classification, Regression",Real,4898.0,12.0,2009.0
URL Reputation,"Multivariate, Time-Series",Classification,"Integer, Real",2396130.0,3231961.0,2009.0
p53 Mutants,Multivariate,Classification,Real,16772.0,5409.0,2010.0
Parkinsons Telemonitoring,Multivariate,Regression,"Integer, Real",5875.0,26.0,2009.0
Demospongiae,Multivariate,Classification,Integer,503.0,,2010.0
Opinosis Opinion ⁄ Review,Text,,,51.0,,2010.0
Breast Tissue,Multivariate,Classification,Real,106.0,10.0,2010.0
Cardiotocography,Multivariate,Classification,Real,2126.0,23.0,2010.0
Wall-Following Robot Navigation Data,"Multivariate, Sequential",Classification,Real,5456.0,24.0,2010.0
Spoken Arabic Digit,"Multivariate, Time-Series",Classification,Real,8800.0,13.0,2010.0
Localization Data for Person Activity,"Univariate, Sequential, Time-Series",Classification,Real,164860.0,8.0,2010.0
AutoUniv,Multivariate,Classification,"Categorical, Integer, Real",,,2010.0
Steel Plates Faults,Multivariate,Classification,"Integer, Real",1941.0,27.0,2010.0
MiniBooNE particle identification,Multivariate,Classification,Real,130065.0,50.0,2010.0
YearPredictionMSD,Multivariate,Regression,Real,515345.0,90.0,2011.0
PEMS-SF,"Multivariate, Time-Series",Classification,Real,440.0,138672.0,2011.0
OpinRank Review Dataset,Text,,,,,2011.0
Relative location of CT slices on axial axis,Domain-Theory,Regression,Real,53500.0,386.0,2011.0
Online Handwritten Assamese Characters Dataset,"Multivariate, Sequential",Classification,Integer,8235.0,,2011.0
PubChem Bioassay Data,Multivariate,Classification,"Integer, Real",,,2011.0
Record Linkage Comparison Patterns,Multivariate,Classification,Real,5749132.0,12.0,2011.0
Communities and Crime Unnormalized,Multivariate,Regression,Real,2215.0,147.0,2011.0
Vertebral Column,Multivariate,Classification,Real,310.0,6.0,2011.0
EMG Physical Action Data Set,Time-Series,Classification,Real,10000.0,8.0,2011.0
Vicon Physical Action Data Set,Time-Series,Classification,Real,3000.0,27.0,2011.0
Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500.0,10000.0,2011.0
Amazon Access Samples,"Time-Series, Domain-Theory","Regression, Clustering, Causal-Discovery",,30000.0,20000.0,2011.0
Reuter_50_50,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,2500.0,10000.0,2011.0
Farm Ads,Text,Classification,,4143.0,54877.0,2011.0
DBWorld e-mails,Text,Classification,,64.0,4702.0,2011.0
KEGG Metabolic Relation Network (Directed),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",53414.0,24.0,2011.0
KEGG Metabolic Reaction Network (Undirected),"Multivariate, Univariate, Text","Classification, Regression, Clustering","Integer, Real",65554.0,29.0,2011.0
Bank Marketing,Multivariate,Classification,Real,45211.0,17.0,2012.0
YouTube Comedy Slam Preference Data,Text,Classification,,1138562.0,3.0,2012.0
Gas Sensor Array Drift Dataset,Multivariate,Classification,Real,13910.0,128.0,2012.0
ILPD (Indian Liver Patient Dataset),Multivariate,Classification,"Integer, Real",583.0,10.0,2012.0
OPPORTUNITY Activity Recognition,"Multivariate, Time-Series",Classification,Real,2551.0,242.0,2012.0
Nomao,Univariate,Classification,Real,34465.0,120.0,2012.0
SMS Spam Collection,"Multivariate, Text, Domain-Theory","Classification, Clustering",Real,5574.0,,2012.0
Skin Segmentation,Univariate,Classification,Real,245057.0,4.0,2012.0
Planning Relax,Univariate,Classification,Real,182.0,13.0,2012.0
PAMAP2 Physical Activity Monitoring,"Multivariate, Time-Series",Classification,Real,3850505.0,52.0,2012.0
Restaurant & consumer data,Multivariate,,,138.0,47.0,2012.0
CNAE-9,"Multivariate, Text",Classification,Integer,1080.0,857.0,2012.0
Individual household electric power consumption,"Multivariate, Time-Series","Regression, Clustering",Real,2075259.0,9.0,2012.0
seeds,Multivariate,"Classification, Clustering",Real,210.0,7.0,2012.0
Northix,"Multivariate, Univariate, Text",Classification,"Integer, Real",115.0,200.0,2012.0
QtyT40I10D100K,Sequential,,Integer,3960456.0,4.0,2012.0
Legal Case Reports,Text,Classification,,,,2012.0
Human Activity Recognition Using Smartphones,"Multivariate, Time-Series","Classification, Clustering",,10299.0,561.0,2012.0
One-hundred plant species leaves data set,,Classification,Real,1600.0,64.0,2012.0
Energy efficiency,Multivariate,"Classification, Regression","Integer, Real",768.0,8.0,2012.0
Yacht Hydrodynamics,Multivariate,Regression,Real,308.0,7.0,2013.0
Fertility,Multivariate,"Classification, Regression",Real,100.0,10.0,2013.0
Daphnet Freezing of Gait,"Multivariate, Time-Series",Classification,Real,237.0,9.0,2013.0
"3D Road Network (North Jutland, Denmark)","Sequential, Text","Regression, Clustering",Real,434874.0,4.0,2013.0
ISTANBUL STOCK EXCHANGE,"Multivariate, Univariate, Time-Series","Classification, Regression",Real,536.0,8.0,2013.0
Buzz in social media,"Time-Series, Multivariate","Regression, Classification","Integer, Real",140000.0,77.0,2013.0
First-order theorem proving,Multivariate,Classification,Real,6118.0,51.0,2013.0
Wearable Computing: Classification of Body Postures and Movements (PUC-Rio),Sequential,Classification,"Integer, Real",165632.0,18.0,2013.0
Gas sensor arrays in open sampling settings,"Multivariate, Time-Series",Classification,Real,18000.0,1950000.0,2013.0
Climate Model Simulation Crashes,Multivariate,Classification,Real,540.0,18.0,2013.0
MicroMass,Multivariate,Classification,Real,931.0,1300.0,2013.0
QSAR biodegradation,Multivariate,Classification,"Integer, Real",1055.0,41.0,2013.0
BLOGGER,Multivariate,Classification,,100.0,6.0,2013.0
Daily and Sports Activities,"Multivariate, Time-Series","Classification, Clustering",Real,9120.0,5625.0,2013.0
User Knowledge Modeling,Multivariate,"Classification, Clustering",Integer,403.0,5.0,2013.0
"Reuters RCV1 RCV2 Multilingual, Multiview Text Categorization Test collection",Multivariate,Classification,Real,111740.0,,2013.0
NYSK,"Multivariate, Sequential, Text",Clustering,,10421.0,7.0,2013.0
Turkiye Student Evaluation,Multivariate,"Classification, Clustering",,5820.0,33.0,2013.0
ser Knowledge Modeling Data (Students' Knowledge Levels on DC Electrical Machines),Multivariate,Classification,Real,403.0,5.0,2013.0
EEG Eye State,"Multivariate, Sequential, Time-Series",Classification,"Integer, Real",14980.0,15.0,2013.0
Physicochemical Properties of Protein Tertiary Structure,Multivariate,Regression,Real,45730.0,9.0,2013.0
seismic-bumps,Multivariate,Classification,Real,2584.0,19.0,2013.0
banknote authentication,Multivariate,Classification,Real,1372.0,5.0,2013.0
"USPTO Algorithm Challenge, run by NASA-Harvard Tournament Lab and TopCoder    Problem: Pat",Domain-Theory,Classification,Integer,306.0,5.0,2013.0
YouTube Multiview Video Games Dataset,"Multivariate, Text","Classification, Clustering","Integer, Real",120000.0,1000000.0,2013.0
Gas Sensor Array Drift Dataset at Different Concentrations,"Multivariate, Time-Series","Classification, Regression, Clustering, Causa",Real,13910.0,129.0,2013.0
Activities of Daily Living (ADLs) Recognition Using Binary Sensors,"Multivariate, Sequential, Time-Series","Classification, Clustering",,2747.0,,2013.0
SkillCraft1 Master Table Dataset,Multivariate,Regression,"Integer, Real",3395.0,20.0,2013.0
Weight Lifting Exercises monitored with Inertial Measurement Units,Multivariate,Classification,Real,39242.0,152.0,2013.0
SML2010,"Multivariate, Sequential, Time-Series, Text",Regression,Real,4137.0,24.0,2014.0
Bike Sharing Dataset,Univariate,Regression,"Integer, Real",17389.0,16.0,2013.0
Predict keywords activities in a online social media,"Multivariate, Sequential, Time-Series",,"Integer, Real",51.0,35.0,2013.0
Thoracic Surgery Data,Multivariate,Classification,"Integer, Real",470.0,17.0,2013.0
EMG dataset in Lower Limb,"Multivariate, Time-Series",,Real,132.0,5.0,2014.0
SUSY,,Classification,Real,5000000.0,18.0,2014.0
HIGGS,,Classification,Real,11000000.0,28.0,2014.0
Qualitative_Bankruptcy,Multivariate,Classification,,250.0,7.0,2014.0
LSVT Voice Rehabilitation,Multivariate,Classification,Real,126.0,309.0,2014.0
Dataset for ADL Recognition with Wrist-worn Accelerometer,"Multivariate, Time-Series","Classification, Clustering",,,3.0,2014.0
Wilt,Multivariate,Classification,,4889.0,6.0,2014.0
User Identification From Walking Activity,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014.0
Activity Recognition from Single Chest-Mounted Accelerometer,"Univariate, Sequential, Time-Series","Classification, Clustering",Real,,,2014.0
Leaf,Multivariate,Classification,Real,340.0,16.0,2014.0
Dresses_Attribute_Sales,Text,"Classification, Clustering",,501.0,13.0,2014.0
Tamilnadu Electricity Board Hourly Readings,Multivariate,"Classification, Regression, Clustering",Real,45781.0,5.0,2013.0
Airfoil Self-Noise,Multivariate,Regression,Real,1503.0,6.0,2014.0
Wholesale customers,Multivariate,"Classification, Clustering",Integer,440.0,8.0,2014.0
Twitter Data set for Arabic Sentiment Analysis,Text,Classification,,2000.0,2.0,2014.0
Combined Cycle Power Plant,Multivariate,Regression,Real,9568.0,4.0,2014.0
Urban Land Cover,Multivariate,Classification,,168.0,148.0,2014.0
Diabetes 130-US hospitals for years 1999-2008,Multivariate,"Classification, Clustering",Integer,100000.0,55.0,2014.0
Bach Choral Harmony,Sequential,Classification,,5665.0,17.0,2014.0
StoneFlakes,Multivariate,"Classification, Clustering, Causal-Discovery",Real,79.0,8.0,2014.0
Tennis Major Tournament Match Statistics,Multivariate,"Classification, Regression, Clustering","Integer, Real",127.0,42.0,2014.0
Parkinson Speech Dataset with  Multiple Types of Sound Recordings,Multivariate,"Classification, Regression","Integer, Real",1040.0,26.0,2014.0
Gesture Phase Segmentation,"Multivariate, Sequential, Time-Series","Classification, Clustering",Real,9900.0,50.0,2014.0
Perfume Data,"Univariate, Domain-Theory","Classification, Clustering",Integer,560.0,2.0,2014.0
BlogFeedback,Multivariate,Regression,"Integer, Real",60021.0,281.0,2014.0
REALDISP Activity Recognition Dataset,"Multivariate, Time-Series",Classification,Real,1419.0,120.0,2014.0
Newspaper and magazine images segmentation dataset,,Classification,,101.0,,2014.0
AAAI 2014 Accepted Papers,Multivariate,Clustering,,399.0,6.0,2014.0
Gas sensor array under flow modulation,"Multivariate, Time-Series","Classification, Regression",Real,58.0,120432.0,2014.0
Gas sensor array exposed to turbulent gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,180.0,150000.0,2014.0
UJIIndoorLoc,Multivariate,"Classification, Regression","Integer, Real",21048.0,529.0,2014.0
Sentence Classification,Text,Classification,Integer,,,2014.0
Dow Jones Index,Time-Series,"Classification, Clustering","Integer, Real",750.0,16.0,2014.0
sEMG for Basic Hand movements,Time-Series,Classification,Real,3000.0,2500.0,2014.0
AAAI 2013 Accepted Papers,Multivariate,Clustering,,150.0,5.0,2014.0
Geographical Original of Music,Multivariate,"Classification, Regression",Real,1059.0,68.0,2014.0
Condition Based Maintenance of Naval Propulsion Plants,Multivariate,Regression,Real,11934.0,16.0,2014.0
Grammatical Facial Expressions,"Multivariate, Sequential","Classification, Clustering",Real,27965.0,100.0,2014.0
NoisyOffice,Multivariate,"Classification, Regression",Real,216.0,216.0,2015.0
MHEALTH Dataset,"Multivariate, Time-Series",Classification,Real,120.0,23.0,2014.0
Student Performance,Multivariate,"Classification, Regression",Integer,649.0,33.0,2014.0
ElectricityLoadDiagrams20112014,Time-Series,"Regression, Clustering",Real,370.0,140256.0,2015.0
Gas sensor array under dynamic gas mixtures,"Multivariate, Time-Series","Classification, Regression",Real,4178504.0,19.0,2015.0
microblogPCU,"Multivariate, Univariate, Sequential, Text","Classification, Causal-Discovery","Integer, Real",221579.0,20.0,2015.0
Firm-Teacher_Clave-Direction_Classification,Multivariate,Classification,,10800.0,20.0,2015.0
Dataset for Sensorless Drive Diagnosis,Multivariate,Classification,Real,58509.0,49.0,2015.0
TV News Channel Commercial Detection Dataset,Multivariate,"Classification, Clustering",Real,129685.0,12.0,2015.0
Phishing Websites,,Classification,Integer,2456.0,30.0,2015.0
Greenhouse Gas Observing Network,"Multivariate, Time-Series",Regression,Real,2921.0,5232.0,2015.0
Diabetic Retinopathy Debrecen Data Set,Multivariate,Classification,"Integer, Real",1151.0,20.0,2014.0
HIV-1 protease cleavage,Multivariate,Classification,Categorical,6590.0,1.0,2015.0
Sentiment Labelled Sentences,Text,Classification,,3000.0,,2015.0
Online News Popularity,Multivariate,"Classification, Regression","Integer, Real",39797.0,61.0,2015.0
Forest type mapping,Multivariate,Classification,,326.0,27.0,2015.0
wiki4HE,Multivariate,"Regression, Clustering, Causal-Discovery",,913.0,53.0,2015.0
Online Video Characteristics and Transcoding Time Dataset,Multivariate,Regression,"Integer, Real",168286.0,11.0,2015.0
Chronic_Kidney_Disease,Multivariate,Classification,Real,400.0,25.0,2015.0
Machine Learning based ZZAlpha Ltd. Stock Recommendations 2012-2014,"Sequential, Time-Series",Classification,Real,314080.0,0.0,2015.0
Folio,Multivariate,"Classification, Clustering",,637.0,20.0,2015.0
"Taxi Service Trajectory - Prediction Challenge, ECML PKDD 2015","Multivariate, Sequential, Time-Series, Domain-Theory","Clustering, Causal-Discovery",Real,1710671.0,9.0,2015.0
Cuff-Less Blood Pressure Estimation,Multivariate,"Classification, Regression",Real,12000.0,3.0,2015.0
Smartphone-Based Recognition of Human Activities and Postural Transitions,"Multivariate, Time-Series",Classification,Real,10929.0,561.0,2015.0
Mice Protein Expression,Multivariate,"Classification, Clustering",Real,1080.0,82.0,2015.0
UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",40000.0,13.0,2015.0
Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,43930257.0,16.0,2015.0
Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,230318.0,13.0,2015.0
HEPMASS,Multivariate,Classification,Real,10500000.0,28.0,2016.0
